track_id,album_id,artist_id,track_name,duration_ms,explicit_flag
trk_00001,alb_0501,art_0227,Track_1,207286,0
trk_00002,alb_0058,art_0094,Track_2,265483,0
trk_00003,alb_0198,art_0076,Track_3,165028,0
trk_00004,alb_0211,art_0035,Track_4,125421,1
trk_00005,alb_0045,art_0011,Track_5,222526,0
trk_00006,alb_0097,art_0061,Track_6,238594,0
trk_00007,alb_0279,art_0044,Track_7,128575,0
trk_00008,alb_0535,art_0121,Track_8,93192,0
trk_00009,alb_0410,art_0068,Track_9,201116,0
trk_00010,alb_0461,art_0025,Track_10,276340,0
trk_00011,alb_0391,art_0176,Track_11,217874,0
trk_00012,alb_0044,art_0160,Track_12,171311,1
trk_00013,alb_0027,art_0084,Track_13,231474,0
trk_00014,alb_0097,art_0114,Track_14,299682,0
trk_00015,alb_0548,art_0223,Track_15,170781,0
trk_00016,alb_0567,art_0132,Track_16,126527,0
trk_00017,alb_0219,art_0246,Track_17,142181,1
trk_00018,alb_0185,art_0166,Track_18,181472,0
trk_00019,alb_0069,art_0245,Track_19,248074,0
trk_00020,alb_0130,art_0191,Track_20,171219,0
trk_00021,alb_0567,art_0175,Track_21,233532,0
trk_00022,alb_0599,art_0001,Track_22,209783,0
trk_00023,alb_0334,art_0131,Track_23,251554,1
trk_00024,alb_0154,art_0229,Track_24,237519,0
trk_00025,alb_0547,art_0086,Track_25,269300,0
trk_00026,alb_0079,art_0062,Track_26,173265,0
trk_00027,alb_0579,art_0064,Track_27,140126,0
trk_00028,alb_0413,art_0145,Track_28,110545,1
trk_00029,alb_0546,art_0126,Track_29,145114,0
trk_00030,alb_0169,art_0206,Track_30,183740,0
trk_00031,alb_0583,art_0105,Track_31,296422,0
trk_00032,alb_0515,art_0062,Track_32,278873,0
trk_00033,alb_0314,art_0035,Track_33,103890,0
trk_00034,alb_0032,art_0250,Track_34,211284,0
trk_00035,alb_0287,art_0013,Track_35,142482,0
trk_00036,alb_0594,art_0163,Track_36,284469,1
trk_00037,alb_0043,art_0043,Track_37,222812,0
trk_00038,alb_0001,art_0130,Track_38,251193,1
trk_00039,alb_0573,art_0184,Track_39,232290,0
trk_00040,alb_0270,art_0111,Track_40,161591,0
trk_00041,alb_0180,art_0205,Track_41,178241,0
trk_00042,alb_0518,art_0128,Track_42,124722,1
trk_00043,alb_0103,art_0051,Track_43,139431,0
trk_00044,alb_0010,art_0182,Track_44,272615,0
trk_00045,alb_0583,art_0144,Track_45,132000,0
trk_00046,alb_0090,art_0146,Track_46,161975,1
trk_00047,alb_0226,art_0135,Track_47,120921,1
trk_00048,alb_0126,art_0045,Track_48,189265,0
trk_00049,alb_0209,art_0164,Track_49,178747,1
trk_00050,alb_0097,art_0169,Track_50,251686,0
trk_00051,alb_0074,art_0222,Track_51,282261,1
trk_00052,alb_0191,art_0042,Track_52,107601,0
trk_00053,alb_0056,art_0233,Track_53,183332,0
trk_00054,alb_0553,art_0135,Track_54,213254,0
trk_00055,alb_0032,art_0015,Track_55,292615,0
trk_00056,alb_0527,art_0060,Track_56,241586,0
trk_00057,alb_0574,art_0040,Track_57,288684,0
trk_00058,alb_0284,art_0211,Track_58,209004,0
trk_00059,alb_0494,art_0235,Track_59,237364,0
trk_00060,alb_0187,art_0165,Track_60,252582,0
trk_00061,alb_0498,art_0194,Track_61,118000,1
